ClassificationMethod,EmbeddingMethod,Predictors,Time,FilterStopwords,ConvertLower,FilterNumbers,FilterMinAppear,Accuracy,Precision,Recall,Specificity
FDA,TF-IDF,5028,NA,No,Yes,No,5,NA,NA,NA,NA
Tree,TF-IDF,5028,NA,No,Yes,No,5,NA,NA,NA,NA
RF,TF-IDF,5028,NA,No,Yes,No,5,NA,NA,NA,NA
LogisticRegression,TF-IDF,1303,793.4106,No,Yes,No,30,0.6155,0.6129,0.5964,0.634
LDA,TF-IDF,1303,227.61522,No,Yes,No,30,0.6172,0.615,0.597,0.6369
QDA,TF-IDF,1303,NA,No,Yes,No,30,NA,NA,NA,NA
MDA,TF-IDF,1303,NA,No,Yes,No,30,NA,NA,NA,NA
FDA,TF-IDF,1303,NA,No,Yes,No,30,NA,NA,NA,NA
Tree,TF-IDF,1303,NA,No,Yes,No,30,NA,NA,NA,NA
RF,TF-IDF,1303,NA,No,Yes,No,30,NA,NA,NA,NA
LogisticRegression,TF-IDF,710,177.33612,No,Yes,No,60,0.6149,0.631,0.5756,0.6552
LDA,TF-IDF,710,74.49876,No,Yes,No,60,0.6123,0.6288,0.571,0.6546
QDA,TF-IDF,710,NA,No,Yes,No,60,NA,NA,NA,NA
MDA,TF-IDF,710,NA,No,Yes,No,60,NA,NA,NA,NA
FDA,TF-IDF,710,NA,No,Yes,No,60,NA,NA,NA,NA
Tree,TF-IDF,710,NA,No,Yes,No,60,NA,NA,NA,NA
RF,TF-IDF,710,NA,No,Yes,No,60,NA,NA,NA,NA
LogisticRegression,TF-IDF,17440,NA,No,No,Yes,0,NA,NA,NA,NA
LDA,TF-IDF,17440,NA,No,No,Yes,0,NA,NA,NA,NA
QDA,TF-IDF,17440,NA,No,No,Yes,0,NA,NA,NA,NA
MDA,TF-IDF,17440,NA,No,No,Yes,0,NA,NA,NA,NA
FDA,TF-IDF,17440,NA,No,No,Yes,0,NA,NA,NA,NA
Tree,TF-IDF,17440,NA,No,No,Yes,0,NA,NA,NA,NA
RF,TF-IDF,17440,NA,No,No,Yes,0,NA,NA,NA,NA
LogisticRegression,TF-IDF,5170,81147.24,No,No,Yes,5,0.5658,0.5767,0.5466,0.5857
LDA,TF-IDF,5170,3604.0176,No,No,Yes,5,0.5901,0.6024,0.5682,0.6172
QDA,TF-IDF,5170,NA,No,No,Yes,5,NA,NA,NA,NA
MDA,TF-IDF,5170,NA,No,No,Yes,5,NA,NA,NA,NA
FDA,TF-IDF,5170,NA,No,No,Yes,5,NA,NA,NA,NA
Tree,TF-IDF,5170,NA,No,No,Yes,5,NA,NA,NA,NA
RF,TF-IDF,5170,NA,No,No,Yes,5,NA,NA,NA,NA
LogisticRegression,TF-IDF,1281,1249.86,No,No,Yes,30,0.6038,0.6182,0.5846,0.6238
LDA,TF-IDF,1281,275.27508,No,No,Yes,30,0.607,0.6233,0.5806,0.6344
