ClassificationMethod,EmbeddingMethod,Predictors,Time,FilterStopwords,ConvertLower,FilterNumbers,FilterMinAppear,Accuracy,Precision,Recall,Specificity
Tree,GloVe300,300,28.87374,No,No,Yes,60,0.5848,0.5662,0.6805,0.4914
RF,GloVe300,300,35015.742,No,No,Yes,60,0.6264,0.6256,0.6062,0.6461
LogisticRegression,GloVe300,300,68.34666,No,No,No,0,0.5883,0.5819,0.5915,0.5853
LDA,GloVe300,300,30.8929,No,No,No,0,0.5889,0.5817,0.5973,0.5807
QDA,GloVe300,300,15.99868,No,No,No,0,0.5921,0.5805,0.6277,0.5573
MDA,GloVe300,300,284.07756,No,No,No,0,0.5869,0.5806,0.5891,0.5847
FDA,GloVe300,300,289.7697,No,No,No,0,0.5866,0.5841,0.5663,0.6064
Tree,GloVe300,300,42.87005,No,No,No,0,0.5577,0.555,0.5278,0.587
RF,GloVe300,300,48373.236,No,No,No,0,0.6005,0.5903,0.6248,0.5767
LogisticRegression,GloVe300,300,54.46115,No,No,No,5,0.6097,0.6016,0.6213,0.5984
LDA,GloVe300,300,24.94617,No,No,No,5,0.6088,0.5996,0.6265,0.5916
QDA,GloVe300,300,13.21444,No,No,No,5,0.5967,0.5846,0.6341,0.5602
MDA,GloVe300,300,206.7627,No,No,No,5,0.5924,0.5838,0.6084,0.5767
FDA,GloVe300,300,142.45854,No,No,No,5,0.5924,0.5873,0.588,0.5967
Tree,GloVe300,300,42.75753,No,No,No,5,0.571,0.5762,0.4974,0.6429
RF,GloVe300,300,55059.588,No,No,No,5,0.6083,0.5998,0.6219,0.595
LogisticRegression,GloVe300,300,119.43672,No,No,No,30,0.6033,0.597,0.6061,0.6007
LDA,GloVe300,300,47.44042,No,No,No,30,0.6039,0.5968,0.6108,0.5973
QDA,GloVe300,300,29.36742,No,No,No,30,0.6143,0.5989,0.6634,0.5665
MDA,GloVe300,300,478.00812,No,No,No,30,0.6106,0.6041,0.6137,0.6075
FDA,GloVe300,300,399.17946,No,No,No,30,0.5912,0.5793,0.63,0.5533
Tree,GloVe300,300,66.42684,No,No,No,30,0.5751,0.5703,0.5669,0.583
RF,GloVe300,300,66749.508,No,No,No,30,0.6114,0.6069,0.6055,0.6172
LogisticRegression,GloVe300,300,52.33346,No,No,No,60,0.6213,0.6143,0.6269,0.6159
LDA,GloVe300,300,22.45588,No,No,No,60,0.6233,0.6153,0.6333,0.6136
QDA,GloVe300,300,11.9746,No,No,No,60,0.6103,0.5966,0.652,0.5696
MDA,GloVe300,300,235.99014,No,No,No,60,0.6155,0.606,0.6333,0.5982
FDA,GloVe300,300,118.09242,No,No,No,60,0.6121,0.6,0.6439,0.5811
Tree,GloVe300,300,41.27842,No,No,No,60,0.5852,0.5837,0.5585,0.6113
RF,GloVe300,300,48556.224,No,No,No,60,0.6291,0.6302,0.6029,0.6547
LogisticRegression,GloVe200,200,11.4075,Yes,Yes,Yes,0,0.5846,0.5778,0.5903,0.579
LDA,GloVe200,200,9.524632,Yes,Yes,Yes,0,0.584,0.577,0.5915,0.5767
QDA,GloVe200,200,5.558763,Yes,Yes,Yes,0,0.5794,0.5726,0.5856,0.5733
MDA,GloVe200,200,97.20084,Yes,Yes,Yes,0,0.5768,0.5698,0.5845,0.5693
FDA,GloVe200,200,74.9223,Yes,Yes,Yes,0,0.5696,0.5629,0.5751,0.5642
Tree,GloVe200,200,18.4562,Yes,Yes,Yes,0,0.5589,0.5614,0.4892,0.6269
RF,GloVe200,200,22080.708,Yes,Yes,Yes,0,0.5924,0.5837,0.6096,0.5756
LogisticRegression,GloVe200,200,10.23153,Yes,Yes,Yes,5,0.5902,0.5835,0.5961,0.5845
LDA,GloVe200,200,9.482541,Yes,Yes,Yes,5,0.5923,0.5851,0.6008,0.5839
QDA,GloVe200,200,5.820768,Yes,Yes,Yes,5,0.5836,0.5705,0.6365,0.532
MDA,GloVe200,200,83.04096,Yes,Yes,Yes,5,0.5703,0.5648,0.5681,0.5725
FDA,GloVe200,200,71.67696,Yes,Yes,Yes,5,0.5793,0.5727,0.5845,0.5742
Tree,GloVe200,200,17.52702,Yes,Yes,Yes,5,0.5461,0.5425,0.519,0.5725
RF,GloVe200,200,19480.2084,Yes,Yes,Yes,5,0.5822,0.5763,0.5827,0.5816
LogisticRegression,GloVe200,200,11.25111,Yes,Yes,Yes,30,0.6039,0.5954,0.6134,0.5947
LDA,GloVe200,200,9.997469,Yes,Yes,Yes,30,0.6054,0.5963,0.6175,0.5936
QDA,GloVe200,200,5.752687,Yes,Yes,Yes,30,0.6045,0.5823,0.6992,0.5124
MDA,GloVe200,200,91.83948,Yes,Yes,Yes,30,0.6022,0.5911,0.6264,0.5786
FDA,GloVe200,200,74.30508,Yes,Yes,Yes,30,0.5881,0.5755,0.6276,0.5498
Tree,GloVe200,200,18.45748,Yes,Yes,Yes,30,0.5625,0.5492,0.6276,0.4991
RF,GloVe200,200,21871.8612,Yes,Yes,Yes,30,0.6118,0.6148,0.569,0.6534
LogisticRegression,GloVe200,200,11.13329,Yes,Yes,Yes,60,0.5977,0.5871,0.5939,0.6013
LDA,GloVe200,200,9.182997,Yes,Yes,Yes,60,0.5977,0.5874,0.592,0.603
QDA,GloVe200,200,5.711286,Yes,Yes,Yes,60,0.5905,0.5666,0.6869,0.4985
MDA,GloVe200,200,89.577,Yes,Yes,Yes,60,0.5893,0.5773,0.5939,0.5849
FDA,GloVe200,200,71.73858,Yes,Yes,Yes,60,0.5797,0.5667,0.592,0.568
Tree,GloVe200,200,18.09705,Yes,Yes,Yes,60,0.5547,0.5424,0.5633,0.5464
RF,GloVe200,200,21130.1136,Yes,Yes,Yes,60,0.6063,0.6064,0.5523,0.6579
LogisticRegression,GloVe200,200,11.65435,Yes,Yes,No,0,0.5699,0.5611,0.5932,0.5471
LDA,GloVe200,200,9.465801,Yes,Yes,No,0,0.569,0.5598,0.5961,0.5425
QDA,GloVe200,200,5.537464,Yes,Yes,No,0,0.5768,0.5642,0.6295,0.5254
MDA,GloVe200,200,95.216724,Yes,Yes,No,0,0.5621,0.5547,0.5745,0.5499
FDA,GloVe200,200,75.33654,Yes,Yes,No,0,0.5667,0.5579,0.5909,0.5431
Tree,GloVe200,200,18.4339,Yes,Yes,No,0,0.5638,0.5613,0.5348,0.5921
RF,GloVe200,200,22096.2816,Yes,Yes,No,0,0.5912,0.5829,0.6061,0.5767
LogisticRegression,GloVe200,200,11.48741,Yes,Yes,No,5,0.5931,0.5833,0.6178,0.5691
LDA,GloVe200,200,9.408947,Yes,Yes,No,5,0.5914,0.5811,0.6201,0.5634
QDA,GloVe200,200,5.713902,Yes,Yes,No,5,0.59,0.5733,0.6651,0.5166
MDA,GloVe200,200,99.33642,Yes,Yes,No,5,0.5836,0.576,0.5956,0.5719
FDA,GloVe200,200,76.2057,Yes,Yes,No,5,0.5746,0.5646,0.6078,0.5422
Tree,GloVe200,200,18.70386,Yes,Yes,No,5,0.551,0.5458,0.5435,0.5582
RF,GloVe200,200,22105.5696,Yes,Yes,No,5,0.5972,0.5914,0.5973,0.597
LogisticRegression,GloVe200,200,11.13544,Yes,Yes,No,30,0.5953,0.5861,0.6113,0.5796
LDA,GloVe200,200,9.849316,Yes,Yes,No,30,0.5988,0.5888,0.619,0.5791
QDA,GloVe200,200,5.615135,Yes,Yes,No,30,0.6005,0.5808,0.6834,0.5198
MDA,GloVe200,200,93.39606,Yes,Yes,No,30,0.6046,0.5952,0.6202,0.5894
FDA,GloVe200,200,76.1829,Yes,Yes,No,30,0.5857,0.5717,0.6385,0.5342
Tree,GloVe200,200,18.69851,Yes,Yes,No,30,0.5653,0.5603,0.5517,0.5785
RF,GloVe200,200,21805.9164,Yes,Yes,No,30,0.5994,0.6064,0.5351,0.6619
LogisticRegression,GloVe200,200,10.88355,Yes,Yes,No,60,0.6044,0.5948,0.5984,0.6101
LDA,GloVe200,200,9.643778,Yes,Yes,No,60,0.6032,0.5938,0.596,0.6101
QDA,GloVe200,200,5.646497,Yes,Yes,No,60,0.5866,0.5664,0.6586,0.5177
MDA,GloVe200,200,91.68768,Yes,Yes,No,60,0.5928,0.5819,0.5936,0.5921
FDA,GloVe200,200,73.63716,Yes,Yes,No,60,0.5919,0.5785,0.6087,0.5758
Tree,GloVe200,200,17.84979,Yes,Yes,No,60,0.542,0.5365,0.4648,0.6159
RF,GloVe200,200,21268.0548,Yes,Yes,No,60,0.6014,0.6056,0.5298,0.67
LogisticRegression,GloVe200,200,11.57304,Yes,No,Yes,0,0.5846,0.5798,0.5774,0.5916
LDA,GloVe200,200,9.685163,Yes,No,Yes,0,0.5872,0.5822,0.5815,0.5927
QDA,GloVe200,200,5.472011,Yes,No,Yes,0,0.5886,0.581,0.5996,0.5779
MDA,GloVe200,200,102.53394,Yes,No,Yes,0,0.5779,0.575,0.5582,0.5973
FDA,GloVe200,200,74.33004,Yes,No,Yes,0,0.5595,0.5542,0.5529,0.5659
Tree,GloVe200,200,18.62498,Yes,No,Yes,0,0.5338,0.5284,0.5225,0.5448
RF,GloVe200,200,23494.9752,Yes,No,Yes,0,0.586,0.5786,0.5961,0.5762
LogisticRegression,GloVe200,200,16.36736,Yes,No,Yes,5,0.5872,0.5826,0.5792,0.595
LDA,GloVe200,200,12.30453,Yes,No,Yes,5,0.5869,0.5821,0.5804,0.5933
QDA,GloVe200,200,7.33582,Yes,No,Yes,5,0.5927,0.5778,0.6511,0.5357
MDA,GloVe200,200,131.3295,Yes,No,Yes,5,0.5739,0.5706,0.5552,0.5921
FDA,GloVe200,200,122.90748,Yes,No,Yes,5,0.5722,0.5697,0.547,0.5967
Tree,GloVe200,200,24.56872,Yes,No,Yes,5,0.5436,0.5371,0.5506,0.5368
RF,GloVe200,200,31050.0252,Yes,No,Yes,5,0.5883,0.5851,0.5728,0.6035
LogisticRegression,GloVe200,200,12.60572,Yes,No,Yes,30,0.5962,0.587,0.6126,0.5802
LDA,GloVe200,200,9.017876,Yes,No,Yes,30,0.5994,0.5898,0.6179,0.5813
QDA,GloVe200,200,5.443826,Yes,No,Yes,30,0.5997,0.5798,0.6855,0.516
MDA,GloVe200,200,107.5713,Yes,No,Yes,30,0.6014,0.594,0.6073,0.5956
FDA,GloVe200,200,77.44944,Yes,No,Yes,30,0.5802,0.5702,0.6061,0.555
Tree,GloVe200,200,19.66698,Yes,No,Yes,30,0.5654,0.5492,0.6661,0.4674
RF,GloVe200,200,22373.2548,Yes,No,Yes,30,0.6057,0.6116,0.5509,0.6592
LogisticRegression,GloVe200,200,10.972,Yes,No,Yes,60,0.5914,0.5826,0.5923,0.5905
LDA,GloVe200,200,9.524663,Yes,No,Yes,60,0.5941,0.5845,0.5995,0.5888
QDA,GloVe200,200,5.367761,Yes,No,Yes,60,0.592,0.5712,0.6784,0.5087
MDA,GloVe200,200,92.92464,Yes,No,Yes,60,0.59,0.5791,0.6037,0.5767
FDA,GloVe200,200,72.45864,Yes,No,Yes,60,0.5826,0.5713,0.6013,0.5646
Tree,GloVe200,200,18.63602,Yes,No,Yes,60,0.5571,0.5473,0.5672,0.5473
RF,GloVe200,200,22872.3768,Yes,No,Yes,60,0.6158,0.6221,0.5541,0.6753
LogisticRegression,GloVe200,200,11.28868,Yes,No,No,0,0.5837,0.5772,0.588,0.5796
LDA,GloVe200,200,9.364358,Yes,No,No,0,0.5826,0.576,0.5868,0.5784
QDA,GloVe200,200,5.377929,Yes,No,No,0,0.5843,0.5718,0.6306,0.5391
MDA,GloVe200,200,96.24072,Yes,No,No,0,0.5794,0.5737,0.578,0.5807
FDA,GloVe200,200,74.63742,Yes,No,No,0,0.5641,0.5566,0.578,0.5505
Tree,GloVe200,200,18.95796,Yes,No,No,0,0.5563,0.552,0.54,0.5722
RF,GloVe200,200,23397.8508,Yes,No,No,0,0.5918,0.582,0.616,0.5682
LogisticRegression,GloVe200,200,18.42341,Yes,No,No,5,0.5791,0.5722,0.5862,0.5722
LDA,GloVe200,200,12.95458,Yes,No,No,5,0.58,0.5731,0.5868,0.5733
QDA,GloVe200,200,8.142278,Yes,No,No,5,0.5826,0.5658,0.6657,0.5014
MDA,GloVe200,200,137.71542,Yes,No,No,5,0.5794,0.5744,0.5733,0.5853
FDA,GloVe200,200,97.05144,Yes,No,No,5,0.5676,0.5581,0.5979,0.5379
Tree,GloVe200,200,28.32078,Yes,No,No,5,0.5514,0.5528,0.4804,0.6207
RF,GloVe200,200,32497.812,Yes,No,No,5,0.6005,0.5942,0.6026,0.5984
LogisticRegression,GloVe200,200,20.89044,Yes,No,No,30,0.6006,0.5902,0.6228,0.5789
LDA,GloVe200,200,13.83735,Yes,No,No,30,0.5977,0.587,0.6222,0.5738
QDA,GloVe200,200,8.755701,Yes,No,No,30,0.591,0.5717,0.6816,0.5029
MDA,GloVe200,200,152.1678,Yes,No,No,30,0.5933,0.5841,0.6099,0.5772
FDA,GloVe200,200,139.45182,Yes,No,No,30,0.5829,0.5693,0.6345,0.5326
Tree,GloVe200,200,30.49721,Yes,No,No,30,0.5774,0.5718,0.5705,0.5841
RF,GloVe200,200,35710.776,Yes,No,No,30,0.6104,0.6095,0.5852,0.635
LogisticRegression,GloVe200,200,11.06266,Yes,No,No,60,0.596,0.5838,0.6182,0.5745
LDA,GloVe200,200,9.611686,Yes,No,No,60,0.5948,0.5825,0.6182,0.5722
QDA,GloVe200,200,5.42126,Yes,No,No,60,0.6004,0.5781,0.6903,0.5135
MDA,GloVe200,200,87.65916,Yes,No,No,60,0.5922,0.5803,0.6135,0.5716
FDA,GloVe200,200,73.5456,Yes,No,No,60,0.581,0.5663,0.6284,0.5354
Tree,GloVe200,200,18.48173,Yes,No,No,60,0.5518,0.5424,0.5599,0.544
RF,GloVe200,200,22954.9572,Yes,No,No,60,0.6009,0.6047,0.542,0.6578
LogisticRegression,GloVe200,200,18.27817,No,Yes,Yes,0,0.601,0.5916,0.6207,0.5819
LDA,GloVe200,200,13.57924,No,Yes,Yes,0,0.5982,0.5881,0.6224,0.5744
QDA,GloVe200,200,8.249062,No,Yes,Yes,0,0.5878,0.5784,0.6102,0.5659
MDA,GloVe200,200,113.06886,No,Yes,Yes,0,0.6002,0.5917,0.6148,0.5859
FDA,GloVe200,200,101.03958,No,Yes,Yes,0,0.5849,0.5803,0.5763,0.5933
Tree,GloVe200,200,28.89089,No,Yes,Yes,0,0.5777,0.5636,0.6423,0.5145
RF,GloVe200,200,32765.1552,No,Yes,Yes,0,0.5976,0.5894,0.6108,0.5847
LogisticRegression,GloVe200,200,11.36609,No,Yes,Yes,5,0.5906,0.5813,0.6119,0.5699
LDA,GloVe200,200,9.532918,No,Yes,Yes,5,0.5912,0.5815,0.6148,0.5682
QDA,GloVe200,200,5.467208,No,Yes,Yes,5,0.6005,0.5852,0.6563,0.5459
MDA,GloVe200,200,81.26586,No,Yes,Yes,5,0.5935,0.586,0.6032,0.5841
FDA,GloVe200,200,73.86564,No,Yes,Yes,5,0.5811,0.5751,0.5821,0.5801
Tree,GloVe200,200,18.79951,No,Yes,Yes,5,0.5589,0.5515,0.5728,0.5454
RF,GloVe200,200,23155.3692,No,Yes,Yes,5,0.6033,0.5931,0.6271,0.5801
LogisticRegression,GloVe200,200,11.5505,No,Yes,Yes,30,0.6045,0.597,0.6131,0.5961
LDA,GloVe200,200,9.397742,No,Yes,Yes,30,0.6048,0.5969,0.6154,0.5944
QDA,GloVe200,200,5.429532,No,Yes,Yes,30,0.595,0.5783,0.6651,0.5265
MDA,GloVe200,200,88.22112,No,Yes,Yes,30,0.6028,0.5949,0.6137,0.5921
FDA,GloVe200,200,73.75764,No,Yes,Yes,30,0.586,0.578,0.5996,0.5727
Tree,GloVe200,200,18.62265,No,Yes,Yes,30,0.5785,0.5602,0.6821,0.4775
RF,GloVe200,200,23207.3712,No,Yes,Yes,30,0.61,0.6045,0.6084,0.6115
LogisticRegression,GloVe200,200,11.25145,No,Yes,Yes,60,0.6087,0.6022,0.6117,0.6058
LDA,GloVe200,200,9.409994,No,Yes,Yes,60,0.6093,0.6016,0.6181,0.6007
QDA,GloVe200,200,5.278441,No,Yes,Yes,60,0.5966,0.5805,0.6596,0.5351
MDA,GloVe200,200,85.48356,No,Yes,Yes,60,0.6102,0.6022,0.6205,0.6001
FDA,GloVe200,200,73.98798,No,Yes,Yes,60,0.6041,0.5916,0.6404,0.5687
Tree,GloVe200,200,18.91669,No,Yes,Yes,60,0.5853,0.575,0.614,0.5573
RF,GloVe200,200,23354.82,No,Yes,Yes,60,0.6226,0.6168,0.6222,0.6229
LogisticRegression,GloVe200,200,17.31839,No,Yes,No,0,0.5938,0.5841,0.6172,0.571
LDA,GloVe200,200,12.78482,No,Yes,No,0,0.5932,0.583,0.6201,0.567
QDA,GloVe200,200,7.533201,No,Yes,No,0,0.5979,0.5836,0.6487,0.5482
MDA,GloVe200,200,120.78048,No,Yes,No,0,0.5964,0.5863,0.6213,0.5722
FDA,GloVe200,200,149.62098,No,Yes,No,0,0.5895,0.5819,0.6002,0.579
Tree,GloVe200,200,24.49866,No,Yes,No,0,0.5727,0.5732,0.5283,0.6161
RF,GloVe200,200,31839.9516,No,Yes,No,0,0.6054,0.5954,0.6271,0.5841
LogisticRegression,GloVe200,200,21.02139,No,Yes,No,5,0.6016,0.5957,0.602,0.6013
LDA,GloVe200,200,15.56842,No,Yes,No,5,0.6013,0.5946,0.6061,0.5967
QDA,GloVe200,200,8.437279,No,Yes,No,5,0.5982,0.5803,0.6739,0.5242
MDA,GloVe200,200,141.65016,No,Yes,No,5,0.601,0.5946,0.6043,0.5978
FDA,GloVe200,200,183.1131,No,Yes,No,5,0.593,0.5856,0.602,0.5841
Tree,GloVe200,200,27.50399,No,Yes,No,5,0.5595,0.5446,0.6598,0.4615
RF,GloVe200,200,34203.8952,No,Yes,No,5,0.6042,0.5944,0.6254,0.5836
LogisticRegression,GloVe200,200,11.17753,No,Yes,No,30,0.608,0.5981,0.6289,0.5876
LDA,GloVe200,200,9.758116,No,Yes,No,30,0.6051,0.5949,0.6283,0.5824
QDA,GloVe200,200,5.52045,No,Yes,No,30,0.5932,0.5762,0.6674,0.5208
MDA,GloVe200,200,88.00278,No,Yes,No,30,0.6074,0.5972,0.63,0.5853
FDA,GloVe200,200,74.13492,No,Yes,No,30,0.5953,0.5838,0.6289,0.5625
Tree,GloVe200,200,18.7887,No,Yes,No,30,0.5727,0.5668,0.5728,0.5727
RF,GloVe200,200,23285.3472,No,Yes,No,30,0.6117,0.6059,0.6119,0.6115
LogisticRegression,GloVe200,200,11.11468,No,Yes,No,60,0.6022,0.5948,0.6108,0.5938
LDA,GloVe200,200,9.666448,No,Yes,No,60,0.6002,0.5921,0.6125,0.5881
QDA,GloVe200,200,5.327911,No,Yes,No,60,0.5953,0.578,0.6692,0.5231
MDA,GloVe200,200,87.88446,No,Yes,No,60,0.6083,0.6009,0.616,0.6007
FDA,GloVe200,200,73.65978,No,Yes,No,60,0.5878,0.5768,0.6213,0.555
Tree,GloVe200,200,18.50024,No,Yes,No,60,0.5719,0.5731,0.5225,0.6201
RF,GloVe200,200,23283.7236,No,Yes,No,60,0.6129,0.6097,0.6008,0.6246
LogisticRegression,GloVe200,200,11.21885,No,No,Yes,0,0.5883,0.5807,0.5991,0.5779
LDA,GloVe200,200,9.799531,No,No,Yes,0,0.5904,0.582,0.6055,0.5756
QDA,GloVe200,200,5.697212,No,No,Yes,0,0.601,0.5894,0.6341,0.5687
MDA,GloVe200,200,81.97404,No,No,Yes,0,0.5855,0.578,0.5956,0.5756
FDA,GloVe200,200,74.6394,No,No,Yes,0,0.5814,0.5755,0.5815,0.5813
Tree,GloVe200,200,18.60879,No,No,Yes,0,0.5641,0.5534,0.609,0.5203
RF,GloVe200,200,23202.7524,No,No,Yes,0,0.5964,0.5864,0.6207,0.5727
LogisticRegression,GloVe200,200,11.12838,No,No,Yes,5,0.5964,0.5887,0.6072,0.5859
LDA,GloVe200,200,9.615017,No,No,Yes,5,0.5973,0.5887,0.6131,0.5819
QDA,GloVe200,200,5.519228,No,No,Yes,5,0.5915,0.577,0.6482,0.5362
MDA,GloVe200,200,79.80822,No,No,Yes,5,0.5976,0.5904,0.6049,0.5904
FDA,GloVe200,200,74.57472,No,No,Yes,5,0.5901,0.5864,0.5774,0.6024
Tree,GloVe200,200,18.64943,No,No,Yes,5,0.5704,0.563,0.5821,0.559
RF,GloVe200,200,23180.6412,No,No,Yes,5,0.608,0.6026,0.6061,0.6098
LogisticRegression,GloVe200,200,24.76779,No,No,Yes,30,0.6047,0.6023,0.5871,0.6218
LDA,GloVe200,200,15.09563,No,No,Yes,30,0.6021,0.5994,0.5854,0.6184
QDA,GloVe200,200,10.10238,No,No,Yes,30,0.605,0.5869,0.6754,0.5362
MDA,GloVe200,200,179.3229,No,No,Yes,30,0.6073,0.5999,0.6146,0.6001
FDA,GloVe200,200,151.9614,No,No,Yes,30,0.6041,0.597,0.6099,0.5984
Tree,GloVe200,200,31.67891,No,No,Yes,30,0.5709,0.5736,0.5105,0.6298
RF,GloVe200,200,36580.5,No,No,Yes,30,0.6159,0.6119,0.6076,0.6241
LogisticRegression,GloVe200,200,11.03239,No,No,Yes,60,0.6238,0.616,0.6325,0.6153
LDA,GloVe200,200,9.706922,No,No,Yes,60,0.6241,0.6154,0.6366,0.6119
QDA,GloVe200,200,5.461365,No,No,Yes,60,0.6108,0.5927,0.677,0.5462
MDA,GloVe200,200,93.69618,No,No,Yes,60,0.6203,0.6116,0.6331,0.6079
FDA,GloVe200,200,74.32344,No,No,Yes,60,0.605,0.5981,0.6103,0.5999
Tree,GloVe200,200,18.79617,No,No,Yes,60,0.5813,0.5742,0.5886,0.5742
RF,GloVe200,200,23210.928,No,No,Yes,60,0.6299,0.6289,0.6109,0.6484
LogisticRegression,GloVe200,200,22.057,No,No,No,0,0.6016,0.593,0.6166,0.587
LDA,GloVe200,200,16.3115,No,No,No,0,0.5973,0.5882,0.616,0.579
QDA,GloVe200,200,8.661984,No,No,No,0,0.5987,0.584,0.6523,0.5465
MDA,GloVe200,200,154.68438,No,No,No,0,0.5935,0.585,0.6096,0.5779
FDA,GloVe200,200,188.08548,No,No,No,0,0.5857,0.5832,0.5652,0.6058
Tree,GloVe200,200,28.83487,No,No,No,0,0.5699,0.566,0.5535,0.5859
RF,GloVe200,200,35903.2428,No,No,No,0,0.5976,0.5894,0.6108,0.5847
LogisticRegression,GloVe200,200,26.80842,No,No,No,5,0.5895,0.582,0.5996,0.5796
LDA,GloVe200,200,16.34848,No,No,No,5,0.5889,0.5806,0.6043,0.5739
QDA,GloVe200,200,10.31496,No,No,No,5,0.601,0.5849,0.6622,0.5414
MDA,GloVe200,200,187.37964,No,No,No,5,0.5814,0.5739,0.5921,0.571
FDA,GloVe200,200,208.14468,No,No,No,5,0.5831,0.5774,0.5821,0.5841
Tree,GloVe200,200,34.35996,No,No,No,5,0.5713,0.5593,0.623,0.5208
RF,GloVe200,200,38879.928,No,No,No,5,0.6039,0.5963,0.6137,0.5944
LogisticRegression,GloVe200,200,33.03174,No,No,No,30,0.6172,0.6075,0.6359,0.599
LDA,GloVe200,200,20.06432,No,No,No,30,0.6169,0.6067,0.6382,0.5961
QDA,GloVe200,200,13.74031,No,No,No,30,0.608,0.5876,0.692,0.526
MDA,GloVe200,200,218.29098,No,No,No,30,0.608,0.6002,0.6178,0.5984
FDA,GloVe200,200,98.01858,No,No,No,30,0.6025,0.5969,0.6014,0.6035
Tree,GloVe200,200,23.03856,No,No,No,30,0.5826,0.5596,0.7276,0.441
RF,GloVe200,200,30762.09,No,No,No,30,0.623,0.6167,0.6254,0.6207
LogisticRegression,GloVe200,200,21.1949,No,No,No,60,0.6118,0.6046,0.6187,0.605
LDA,GloVe200,200,14.60132,No,No,No,60,0.6118,0.6033,0.6251,0.5987
QDA,GloVe200,200,9.132298,No,No,No,60,0.6023,0.5851,0.6696,0.5365
MDA,GloVe200,200,176.8461,No,No,No,60,0.6118,0.6019,0.6322,0.5919
FDA,GloVe200,200,155.17074,No,No,No,60,0.608,0.5984,0.6275,0.589
Tree,GloVe200,200,30.98446,No,No,No,60,0.5823,0.5936,0.4895,0.6729
RF,GloVe200,200,28374.57,No,No,No,60,0.6173,0.6165,0.5959,0.6381
LogisticRegression,GloVe100,100,4.149983,Yes,Yes,Yes,0,0.5699,0.5621,0.5845,0.5556
LDA,GloVe100,100,4.8254,Yes,Yes,Yes,0,0.5716,0.5637,0.5874,0.5562
QDA,GloVe100,100,2.679529,Yes,Yes,Yes,0,0.5831,0.5657,0.6715,0.4969
MDA,GloVe100,100,39.80891,Yes,Yes,Yes,0,0.5727,0.5621,0.6108,0.5357
FDA,GloVe100,100,39.26586,Yes,Yes,Yes,0,0.5577,0.5519,0.5564,0.559
Tree,GloVe100,100,10.06152,Yes,Yes,Yes,0,0.5491,0.5382,0.6131,0.4866
RF,GloVe100,100,6030.2448,Yes,Yes,Yes,0,0.584,0.5775,0.588,0.5801
LogisticRegression,GloVe100,100,4.22531,Yes,Yes,Yes,5,0.592,0.5825,0.6148,0.5696
LDA,GloVe100,100,4.54385,Yes,Yes,Yes,5,0.5925,0.5827,0.6178,0.5679
QDA,GloVe100,100,2.945165,Yes,Yes,Yes,5,0.5897,0.5698,0.692,0.4897
MDA,GloVe100,100,40.13199,Yes,Yes,Yes,5,0.5842,0.5748,0.6084,0.5605
FDA,GloVe100,100,40.23955,Yes,Yes,Yes,5,0.5839,0.5748,0.6067,0.5616
Tree,GloVe100,100,10.29906,Yes,Yes,Yes,5,0.5611,0.5576,0.54,0.5816
RF,GloVe100,100,6005.502,Yes,Yes,Yes,5,0.6038,0.5968,0.6108,0.597
LogisticRegression,GloVe100,100,4.116398,Yes,Yes,Yes,30,0.5943,0.5846,0.6116,0.5774
LDA,GloVe100,100,4.288374,Yes,Yes,Yes,30,0.5957,0.5855,0.6163,0.5757
QDA,GloVe100,100,2.901894,Yes,Yes,Yes,30,0.5855,0.5645,0.6969,0.4773
MDA,GloVe100,100,37.06314,Yes,Yes,Yes,30,0.5963,0.5852,0.6223,0.5711
FDA,GloVe100,100,38.35786,Yes,Yes,Yes,30,0.5884,0.5763,0.624,0.5538
Tree,GloVe100,100,10.05237,Yes,Yes,Yes,30,0.5794,0.5649,0.6394,0.521
RF,GloVe100,100,5944.59,Yes,Yes,Yes,30,0.6211,0.6229,0.5867,0.6546
LogisticRegression,GloVe100,100,3.946973,Yes,Yes,Yes,60,0.5863,0.5742,0.5914,0.5814
LDA,GloVe100,100,4.288798,Yes,Yes,Yes,60,0.5884,0.5761,0.5951,0.582
QDA,GloVe100,100,2.572,Yes,Yes,Yes,60,0.5768,0.552,0.7083,0.4513
MDA,GloVe100,100,37.46916,Yes,Yes,Yes,60,0.5836,0.5694,0.6049,0.5633
FDA,GloVe100,100,36.6039,Yes,Yes,Yes,60,0.5863,0.5692,0.6287,0.5458
Tree,GloVe100,100,9.690884,Yes,Yes,Yes,60,0.5463,0.5455,0.4257,0.6614
RF,GloVe100,100,5764.086,Yes,Yes,Yes,60,0.6105,0.6075,0.5719,0.6474
LogisticRegression,GloVe100,100,4.285694,Yes,Yes,No,0,0.5846,0.5753,0.6072,0.5625
LDA,GloVe100,100,4.292253,Yes,Yes,No,0,0.5866,0.5771,0.6102,0.5636
QDA,GloVe100,100,2.654658,Yes,Yes,No,0,0.5826,0.5644,0.6791,0.4883
MDA,GloVe100,100,37.82043,Yes,Yes,No,0,0.5857,0.5781,0.5967,0.575
FDA,GloVe100,100,39.04612,Yes,Yes,No,0,0.5753,0.5676,0.5891,0.5619
Tree,GloVe100,100,10.04102,Yes,Yes,No,0,0.5618,0.5663,0.4816,0.64
RF,GloVe100,100,5970.618,Yes,Yes,No,0,0.5941,0.5886,0.5921,0.5961
